text,cluster_label
Эксперты назвали сложности перехода Финляндии с русской колеи для поездов,0
Доходы duty free в аэропорту Владивостока выросли втрое благодаря Китаю,0
Аналитики оценили вероятность первого с начала года повышения ставки ЦБ,0
Какие стартапы могут потеснить Nvidia на рынке чипов — The Economist,0
Партия Morena объявила о победе Шейнбаум на выборах президента Мексики,1
"Республиканцы выдвинут Трампа кандидатом на выборы президента независимо от приговора, который ему вынесет суд 11 июля, заявила CNN сопредседатель нацкомитета партии Лара Трамп.",1
"«Зенит» выиграл Суперфинал Кубка России по футболу, обыграв калининградскую «Балтику» 2:1, забив победный гол на последней минуте",2
Бывший губернатор Ханты-Мансийского автономного округа-Югры Наталья Комарова перейдет на работу в Совет Федерации,1
"""Реал"" стал победителем Лиги чемпионов, обыграв в финале дортмундскую ""Боруссию""",2
"Силуанов выразил мнение, что россияне не будут уходить от налогов из-за повышения ставки НДФЛ",1
Дональд Трамп зарегистрировался в TikTok и набрал уже больше миллиона подписчиков,1
Хабиб Нурмагомедов пообщался с Дональдом Трампом возле октагона,1
«Единая Россия» выдвинула Александра Беглова кандидатом в губернаторы Санкт-Петербурга,1
Китайский космический аппарат сел на обратной стороне Луны,0
